pm25
17
18
13
14
14
9
19
30
21
25
23
17
21
16
16
25
18
12
19
29
18
13
17
16
23
13
17
17
32
29
23
14
17
12
10
16
13
16
20
14
15
15
21
15
12
15
27
15
17
16
18
14
19
22
13
17
29
32
26
13
21
17
14
26
16
10
14
12
17
19
24
19
13
24
19
22
20
15
10
20
10
17
9
13
21
29
11
20
13
14
16
9
12
26
26
25
13
29
21
21
29
28
16
18
16
22
10
19
18
18
7
19
14
24
21
13
23
15
9
15
24
16
27
14
7
11
19
16
16
37
21
15
16
