pm25
12
22
20
30
13
10
14
13
26
23
23
15
19
10
26
21
33
18
12
22
35
10
15
24
12
14
13
11
22
15
24
21
17
16
24
17
11
16
17
27
17
26
23
26
14
16
21
17
38
34
18
12
31
27
25
11
17
14
16
19
16
14
29
21
16
13
13
13
17
11
12
17
23
20
32
12
14
14
8
17
20
19
19
10
23
19
13
21
16
26
11
11
23
10
19
25
18
30
22
12
12
19
12
10
13
19
11
31
19
21
28
33
21
29
30
13
15
16
15
11
16
15
20
29
17
18
19
12
30
13
23
23
10
10
25
16
9
38
18
15
24
14
16
