pm25
10
11
28
14
16
17
29
23
18
16
12
10
20
22
33
14
28
24
14
18
7
13
19
30
30
13
13
17
17
12
17
29
14
18
31
17
21
25
27
12
38
12
22
12
23
8
37
12
18
13
23
20
19
22
15
10
15
15
12
15
6
15
14
18
12
37
16
24
31
15
17
20
35
14
13
15
16
16
12
16
19
19
11
19
14
27
16
15
25
17
28
20
29
20
21
31
16
19
25
35
14
15
10
8
18
22
17
26
14
29
19
28
11
12
13
12
14
17
19
12
12
26
21
14
38
17
14
18
33
11
11
16
11
12
15
17
11
11
13
15
